name,cate_1,cate_2,cate_3,area,address,lon,lat,rate,distance,tag,cate_4,link
교토가츠규봉은사역점,일식/수산물,음식점-일식,일식 음식점업,삼성동,서울특별시 강남구 영동대로 602,37.5145808720792,127.060688099709,3.0,813.0,"돈까스,우동",일식/돈까스,https://place.map.kakao.com/1806206259
코끼리분식,분식,라면김밥분식,분식 및 김밥 전문점,대치동,서울특별시 강남구 선릉로 338,37.4998831063711,127.051473983905,0.0,1026.0,분식,분식,https://place.map.kakao.com/27288230
김영희강남동태찜,일식/수산물,해물찜/탕전문,한식 음식점업,대치동,서울특별시 강남구 선릉로62길 13,37.49752088351391,127.053539523479,4.5,1186.0,"해물,생선",해물/생선,https://place.map.kakao.com/1163773154
고피자,한식,한식/백반/한정식,한식 음식점업,삼성동,서울특별시 강남구 영동대로 513,37.5118203253706,127.059139102428,5.0,480.0,피자,패스트푸드,https://place.map.kakao.com/61163488
홍스나나,일식/수산물,음식점-일식,일식 음식점업,삼성동,서울특별시 강남구 봉은사로61길 17,37.5122112585445,127.046092105877,4.0,1148.0,일식,일식/돈까스,https://place.map.kakao.com/19834362
쫀득이보쌈,한식,족발/보쌈전문,한식 음식점업,대치동,서울특별시 강남구 선릉로86길 38,37.5037949921976,127.052759094902,2.0,615.0,"족발,보쌈",육류/고기,https://place.map.kakao.com/2029231942
강남집밥,한식,한식/백반/한정식,한식 음식점업,삼성동,서울특별시 강남구 테헤란로107길 10,37.5104834759741,127.065535392317,3.0,755.0,한식뷔페,한식,https://place.map.kakao.com/27361398
잇쇼우,일식/수산물,음식점-일식,일식 음식점업,삼성동,서울특별시 강남구 선릉로 524,37.5066430806136,127.048368528927,3.4,836.0,"돈까스,우동",일식/돈까스,https://place.map.kakao.com/1681932014
치쿠린,일식/수산물,음식점-일식,일식 음식점업,삼성동,서울특별시 강남구 삼성로 517,37.5080786526444,127.055464807235,5.0,208.0,일본식라면,일식/돈까스,https://place.map.kakao.com/1880526197
강남동태찜,일식/수산물,매운탕전문,한식 음식점업,대치동,서울특별시 강남구 테헤란로 440,37.505804183147696,127.056115540456,4.5,251.0,"해물,생선",해물/생선,https://place.map.kakao.com/1163773154
